"Title","Link","University","Department","Study_Level","Duration","ECTS","Tuition","Language","Field"
"Education Sciences Educational Technology (MEd, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=922","University of Nicosia","Education","Master","1.5 έτος","90",NA,"English","Education Science"
"Education Sciences Educational Technology (MEd, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=923","University of Nicosia","Education","Master","3 Semesters","90",NA,"English","Education Science"
"Education Sciences Music Education (MEd, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=924","University of Nicosia","Education","Master","1.5 έτος","90",NA,"English","Education Science"
"Education Sciences Music Education (MEd, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=925","University of Nicosia","Education","Master","3 Εξάμηνα","90",NA,"English","Education Science"
"Education Sciences Special Education (MEd, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=926","University of Nicosia","Education","Master","1.5 έτος","240",NA,"English","Education Science"
"Education Sciences Special Education (MEd, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=927","University of Nicosia","Education","Master","3 Εξάμηνα","90",NA,"English","Education Science"
"Education Sciences Teaching of Language and Literature (MEd, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=928","University of Nicosia","Education","Master","1.5 έτος","90",NA,"English","Education Science"
"Education Sciences Teaching of Language and Literature (MEd, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=929","University of Nicosia","Education","Master","3 Εξάμηνα","90",NA,"English","Education Science"
"Education Sciences Teaching of Mathematics and Physical Sciences (MEd, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=930","University of Nicosia","Education","Master","1.5 έτος","90",NA,"English","Education Science"
"Education Sciences Teaching of Mathematics and Physical Sciences (MEd, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=931","University of Nicosia","Education","Master","3 Εξάμηνα","90",NA,"English","Education Science"
"Education Sciences Theory, Practice and Evaluation of Teaching (MEd, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=932","University of Nicosia","Education","Master","1.5 έτος","90",NA,"English","Education Science"
"Education Sciences Theory, Practice and Evaluation of Teaching (MEd, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=933","University of Nicosia","Education","Master","3 Εξάμηνα","90",NA,"English","Education Science"
"Pre-Primary Education (BEd, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=993","University of Nicosia","Education","Bachelor","4 έτη","240",NA,"English","Education Science"
"Pre-Primary Education (BEd, 4 Years) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=994","University of Nicosia","Education","Bachelor","4 έτη","240",NA,"English","Education Science"
"Primary Education (BEd, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=995","University of Nicosia","Education","Bachelor","4 έτη","240",NA,"English","Education Science"
"Special Education (MEd, 2 Years) Joint Degree with the University of Patras Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1006","University of Nicosia","Education","Master","2 έτη","120",NA,"English","Education Science"
"BEd in Pre-Primary Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1125","Frederick University","Department of Education","Bachelor","4 years","240",NA,"English","Education Science"
"BEd in Primary Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1126","Frederick University","Department of Education","Bachelor","4 years","240",NA,"English","Education Science"
"BSc Physical Education and Sport Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1136","Frederick University","Department of Education","Bachelor","4 years","240",NA,"English","Education Science"
"MSc in Curriculum Development and Instruction","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1146","Frederick University","Department of Education","Master","1,5 years","90",NA,"English","Education Science"
"MSc in Education for the Environment and Sustainable Development","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1147","Frederick University","Department of Education","Master","1,5 years","90",NA,"English","Education Science"
"MA in Educational Administration","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1139","Frederick University","Frederick University","Master","18 to 36 months","90",NA,"English","Education Science"
"MEd in Adult Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1143","Frederick University","Frederick University","Master","1,5 years","90",NA,"English","Education Science"
"PhD in Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1161","Frederick University","Frederick University","Doctorate","4 years","240",NA,"English","Education Science"
"English Language and Literature (BA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=941","University of Nicosia","Languages and Literature","Bachelor","4 έτη","240",NA,"English","Education Science"
"English Language and Literature (BA, 4 Years) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=942","University of Nicosia","Languages and Literature","Bachelor","4 έτη","240",NA,"English","Education Science"
"Teaching Greek to Speakers of Other Languages (MA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1010","University of Nicosia","Languages and Literature","Master","1.5 έτος","90",NA,"English","Education Science"
"Teaching Greek to Speakers of Other Languages (MA, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1011","University of Nicosia","Languages and Literature","Master","3 Εξάμηνα","90",NA,"English","Education Science"
"TESOL (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1012","University of Nicosia","Languages and Literature","Doctorate","3 έτη","180",NA,"English","Education Science"
"TESOL Teaching English to Speakers of Other Languages (MA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1013","University of Nicosia","Languages and Literature","Master","1.5 έτος","90",NA,"English","Education Science"
"TESOL Teaching English to Speakers of Other Languages (MA, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1014","University of Nicosia","Languages and Literature","Master","3 εξάμηνα","90",NA,"English","Education Science"
"Early Childhood Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1042","European University Cyprus","School of Humanities, Social and Education Sciences","Bachelor","4 χρόνια","240",NA,"English","Education Science"
"Early Childhood Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1043","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Education Science"
"Education Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1045","European University Cyprus","School of Humanities, Social and Education Sciences","Doctorate",NA,"180",NA,"English","Education Science"
"Educational Management and Leadership","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1046","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Education Science"
"English Language and Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1049","European University Cyprus","School of Humanities, Social and Education Sciences","Bachelor","4 χρόνια","240",NA,"English","Education Science"
"English Language and Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1050","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Education Science"
"Music Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1079","European University Cyprus","School of Humanities, Social and Education Sciences","Doctorate",NA,"180",NA,"English","Education Science"
"Primary Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1090","European University Cyprus","School of Humanities, Social and Education Sciences","Bachelor","4 χρόνια","240",NA,"English","Education Science"
"Special (Inclusive) Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1104","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Education Science"
"Technologies of Learning and Communication","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1113","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Education Science"
"Master in History","https://www.studycyprus.eu/en-gb/find/degree/?uInput=10","Neapolis University","School of Law and Social Sciences","Master",NA,NA,NA,"English","Education Science"
"Exercise Science and Physical Education (MSc, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=944","University of Nicosia","Life and Health Sciences","Master","1.5 έτος","90",NA,"English","Education Science"
"Exercise Science and Physical Education (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=945","University of Nicosia","Life and Health Sciences","Doctorate","3 έτη","180",NA,"English","Education Science"
"Chemistry","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1305","University Of Cyprus","Department of Chemistry","Master","2 years","120",NA,"English","Exact Science"
"Chemistry - Biological Chemistry","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1306","University Of Cyprus","Department of Chemistry","Bachelor","4 years","240",NA,"English","Exact Science"
"Chemistry - Food and Environmental Chemistry","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1307","University Of Cyprus","Department of Chemistry","Bachelor","4 years","240",NA,"English","Exact Science"
"Chemistry - Materials Chemistry","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1308","University Of Cyprus","Department of Chemistry","Bachelor","4 years","240",NA,"English","Exact Science"
"Food Chemistry","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1344","University Of Cyprus","Department of Chemistry","Master","3 semsesters","90",NA,"English","Exact Science"
"Applied Mathematics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1288","University Of Cyprus","Department of Mathematics and Statistics","Master","3 semesters","93",NA,"English","Exact Science"
"Mathematics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1360","University Of Cyprus","Department of Mathematics and Statistics","Bachelor","4 years","240",NA,"English","Exact Science"
"Mathematics And Statistics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1361","University Of Cyprus","Department of Mathematics and Statistics","Bachelor","4 years","240",NA,"English","Exact Science"
"Pure Mathematics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1389","University Of Cyprus","Department of Mathematics and Statistics","Master","3 semesters","93",NA,"English","Exact Science"
"Physics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1380","University Of Cyprus","Department of Physics","Bachelor","4 years","242.5",NA,"English","Exact Science"
"Physics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1381","University Of Cyprus","Department of Physics","Master","2 years","120",NA,"English","Exact Science"
"Principles of Physics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1386","University Of Cyprus","Department of Physics","Master","2 years","90",NA,"English","Exact Science"
"Learning in Natural Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1358","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Exact Science"
"Mathematics Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1362","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Exact Science"
"Mathematics (BSc, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=970","University of Nicosia","Computer Science","Bachelor","4 έτη","240",NA,"English","Exact Science"
"Science   Technology in Cultural Heritage","https://www.studycyprus.eu/en-gb/find/degree/?uInput=683","Cyprus Institute","The Cyprus Institute","Doctorate",NA,NA,NA,"English","Exact Science"
"Biological Sciences (General Biology)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1022","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Exact Science"
"Biological Sciences (General Microbiology)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1023","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Exact Science"
"Mathematics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1072","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Exact Science"
"ΔΙΟΙΚΗΣΗ ΜΟΝΑΔΩΝ ΥΓΕΙΑΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1479","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Master","2","120","5400","English","Health Science"
"ΔΙΟΙΚΗΣΗ ΜΟΝΑΔΩΝ ΥΓΕΙΑΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1480","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Doctorate","3","180","4050","English","Health Science"
"MSc Cognitive Neurorehabilitation","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1556","Cyprus University of Technology","","Master",NA,"90",NA,"English","Health Science"
"MSc in Biomedical Research","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1499","Institute of Neurology & Genetics","Cyprus School of Molecular Medicine","Master","1","50","10550","English","Health Science"
"MSc in Medical Genetics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1500","Institute of Neurology & Genetics","Cyprus School of Molecular Medicine","Master","1","50","8000","English","Health Science"
"MSc in Molecular Medicine","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1501","Institute of Neurology & Genetics","Cyprus School of Molecular Medicine","Master","1","50","8000","English","Health Science"
"MSc in Neuroscience","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1502","Institute of Neurology & Genetics","Cyprus School of Molecular Medicine","Master","1","50","8000","English","Health Science"
"PhD in Medical Genetics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1503","Institute of Neurology & Genetics","Cyprus School of Molecular Medicine","Doctorate","4","50","20750","English","Health Science"
"PhD in Molecular Medicine","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1504","Institute of Neurology & Genetics","Cyprus School of Molecular Medicine","Doctorate","4","50","20750","English","Health Science"
"PhD in Neuroscience","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1505","Institute of Neurology & Genetics","Cyprus School of Molecular Medicine","Doctorate","4","50","20750","English","Health Science"
"Psychology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1094","European University Cyprus","Distance Education Unit","Bachelor","4 χρόνια","240",NA,"English","Health Science"
"Public Health","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1100","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Health Science"
"Biomedical Sciences (Phd)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1293","University Of Cyprus","Department of Biological Sciences","Doctorate",NA,NA,NA,"English","Health Science"
"Molecular Biology and Biomedicine","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1369","University Of Cyprus","Department of Biological Sciences","Master","3 semesters","90",NA,"English","Health Science"
"Food Chemistry","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1344","University Of Cyprus","Department of Chemistry","Master","3 semsesters","90",NA,"English","Health Science"
"Medical Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1365","University Of Cyprus","Medical School","Bachelor","6 years","360",NA,"English","Health Science"
"Family Medicine (MSc, 1.5 Year or 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=946","University of Nicosia","Distance Learning / Online","Master","3 semesters","90",NA,"English","Health Science"
"Public Health (MPH, 1.5 Year or 3 Semesters ) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1000","University of Nicosia","Distance Learning / Online","Master","3 Semesters","90",NA,"English","Health Science"
"Family Medicine (MSc, 1.5 Year or 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=947","University of Nicosia","Medical School","Master","3 semesters","90",NA,"English","Health Science"
"Medical Science (PhD, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=973","University of Nicosia","Medical School","Doctorate",NA,"180",NA,"English","Health Science"
"Medicine (MBBS, 4 Years, Graduate Entry) in cooperation with St. Georges University of London","https://www.studycyprus.eu/en-gb/find/degree/?uInput=974","University of Nicosia","Medical School","Master",NA,NA,NA,"English","Health Science"
"Medicine (MD, 6 Years, Undergraduate Entry)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=975","University of Nicosia","Medical School","Master","6 έτη","360",NA,"English","Health Science"
"Public Health (MPH, 1.5 Year or 3 Semesters ) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1001","University of Nicosia","Ιατρική Σχολή","Master",NA,NA,NA,"English","Health Science"
"MSc in Health Education and Health Promotion","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1150","Frederick University","Department of Education","Master","1,5 years","90",NA,"English","Health Science"
"MSc in Community Health Care","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1144","Frederick University","Department of Nursing","Master","1,5 years","90",NA,"English","Health Science"
"MSc in Health Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1151","Frederick University","Frederick University","Master","1,5 years","90",NA,"English","Health Science"
"PhD Health Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1157","Frederick University","Frederick University","Doctorate","4 years","240",NA,"English","Health Science"
"Biomedical Sciences (MSc, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=873","University of Nicosia","Life and Health Sciences","Master","1.5 έτος ή 3 εξάμηνα","90",NA,"English","Health Science"
"Clinical Dietetics (MSc, 2 Years or 4 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=898","University of Nicosia","Life and Health Sciences","Master","2 έτη","120",NA,"English","Health Science"
"Contemporary Nursing Concentrations: 1. General Nursing, 2. Oncological Care, 3. Community Nursing (MSc, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=905","University of Nicosia","Life and Health Sciences","Master","1.5 έτος ή 3 εξάμηνα","90",NA,"English","Health Science"
"Drug Regulatory Affairs (MSc, 1.5 Years or 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=915","University of Nicosia","Life and Health Sciences","Master","1.5 Years (3 Semesters)","90",NA,"English","Health Science"
"Mental Health Nursing (MSc, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=976","University of Nicosia","Life and Health Sciences","Master","1.5 έτος ή 3 εξάμηνα","90",NA,"English","Health Science"
"Nursing (BSc, 4 Years) (in English)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=979","University of Nicosia","Life and Health Sciences","Bachelor","4 έτη","240",NA,"English","Health Science"
"Nursing (BSc, 4 Years) (in Greek)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=980","University of Nicosia","Life and Health Sciences","Bachelor","4 έτη","240",NA,"English","Health Science"
"Nursing (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=981","University of Nicosia","Life and Health Sciences","Doctorate","3 έτη","180",NA,"English","Health Science"
"Nutrition and Dietetics (BSc, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=982","University of Nicosia","Life and Health Sciences","Bachelor","4 έτη","240",NA,"English","Health Science"
"Nutrition and Dietetics (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=983","University of Nicosia","Life and Health Sciences","Doctorate","3 έτη","180",NA,"English","Health Science"
"Orthopedic Science and Rehabilitation Concentrations: 1. Musculoskeletal Physiotherapy, 2. Sports Physiotherapy, 3. Orthopedic Science (MSc, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=987","University of Nicosia","Life and Health Sciences","Master","1.5 έτος","90",NA,"English","Health Science"
"Pharmacy (BPharm, 5 Years) (in English)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=988","University of Nicosia","Life and Health Sciences","Bachelor","5 έτη","300",NA,"English","Health Science"
"Pharmacy (BPharm, 5 Years) (in Greek)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=989","University of Nicosia","Life and Health Sciences","Bachelor","5 έτη","300",NA,"English","Health Science"
"Physiotherapy (BSc, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=990","University of Nicosia","Life and Health Sciences","Bachelor","4 έτη","240",NA,"English","Health Science"
"Physiotherapy (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=991","University of Nicosia","Life and Health Sciences","Doctorate","3 έτη","180",NA,"English","Health Science"
"Physiotherapy and Rehabilitation Concentrations: 1. Musculoskeletal Physiotherapy, 2. Neurological Physiotherapy (MSc, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=992","University of Nicosia","Life and Health Sciences","Master","1.5 years (3 semesters)","90",NA,"English","Health Science"
"Sports Nutrition/Dietetics and Nutrition Intervention (MSc, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1008","University of Nicosia","Life and Health Sciences","Master","1.5 έτος","90",NA,"English","Health Science"
"Dental Surgery","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1040","European University Cyprus","The School of Medicine","Bachelor","5 χρόνια","300",NA,"English","Health Science"
"Infectious Diseases: Prevention and Control","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1059","European University Cyprus","The School of Medicine","Master","18 μήνες","90",NA,"English","Health Science"
"Medicine","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1073","European University Cyprus","The School of Medicine","Bachelor","6 χρόνια","360",NA,"English","Health Science"
"Applied Nutrition and Dietetics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1020","European University Cyprus","The School of Sciences","Master","18 μήνες","90",NA,"English","Health Science"
"Biomedical Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1024","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Health Science"
"Gerontology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1054","European University Cyprus","The School of Sciences","Master","18 μήνες","90",NA,"English","Health Science"
"Midwifery","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1075","European University Cyprus","The School of Sciences","Master","18 μήνες","90",NA,"English","Health Science"
"Nursing","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1080","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Health Science"
"Nursing","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1081","European University Cyprus","The School of Sciences","Master","18 μήνες","90",NA,"English","Health Science"
"Nursing","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1082","European University Cyprus","The School of Sciences","Doctorate",NA,"180",NA,"English","Health Science"
"Nutrition and Dietetics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1083","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Health Science"
"Occupational Therapy","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1086","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Health Science"
"Pharmacy","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1087","European University Cyprus","The School of Sciences","Bachelor","5 χρόνια","300",NA,"English","Health Science"
"Physiotherapy","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1088","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Health Science"
"Physiotherapy","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1089","European University Cyprus","The School of Sciences","Doctorate",NA,"180",NA,"English","Health Science"
"Public Health","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1098","European University Cyprus","The School of Sciences","Master","18 μήνες","90",NA,"English","Health Science"
"Public Health","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1099","European University Cyprus","The School of Sciences","Doctorate",NA,"180",NA,"English","Health Science"
"Radiodiagnostics - Radiotherapy","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1101","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Health Science"
"Speech and Language Therapy","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1106","European University Cyprus","The School of Sciences","Bachelor","4 χρόνια","240",NA,"English","Health Science"
"Speech-Language Pathology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1107","European University Cyprus","The School of Sciences","Master","18 μήνες","90",NA,"English","Health Science"
"Sport Physiotherapy","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1109","European University Cyprus","The School of Sciences","Master","18 μήνες","90",NA,"English","Health Science"
"ΠΟΛΙΤΙΣΤΙΚΗ ΠΟΛΙΤΙΚΗ ΚΑΙ ΑΝΑΠΤΥΞΗ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1491","Open University of Cyprus","ΣΧΟΛΗ ΑΝΘΡΩΠΙΣΤΙΚΩΝ & ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ","Master","2","120","5400","English","Humanities Science"
"ΠΟΛΙΤΙΣΤΙΚΗ ΠΟΛΙΤΙΚΗ ΚΑΙ ΑΝΑΠΤΥΞΗ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1492","Open University of Cyprus","ΣΧΟΛΗ ΑΝΘΡΩΠΙΣΤΙΚΩΝ & ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ","Doctorate","3","180","4050","English","Humanities Science"
"ΣΠΟΥΔΕΣ ΣΤΟΝ ΕΛΛΗΝΙΚΟ ΠΟΛΙΤΙΣΜΟ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1493","Open University of Cyprus","ΣΧΟΛΗ ΑΝΘΡΩΠΙΣΤΙΚΩΝ & ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ","Bachelor","4","240","7000","English","Humanities Science"
"ΣΠΟΥΔΕΣ ΣΤΟΝ ΕΛΛΗΝΙΚΟ ΠΟΛΙΤΙΣΜΟ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1494","Open University of Cyprus","ΣΧΟΛΗ ΑΝΘΡΩΠΙΣΤΙΚΩΝ & ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ","Doctorate","3","180",NA,"English","Humanities Science"
"Master of Arts in Theological Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=12","Neapolis University","Department of Theological Studies","Master",NA,NA,NA,"English","Humanities Science"
"Hellenic Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1057","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Humanities Science"
"Turkish Studies - History/Politics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1398","University Of Cyprus","Department of Turkish and Middle Eastern Studies","Bachelor","4 years","240",NA,"English","Humanities Science"
"Turkish Studies - Linguistics/Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1399","University Of Cyprus","Department of Turkish and Middle Eastern Studies","Bachelor","4 years","240",NA,"English","Humanities Science"
"Turkish Studies (Master)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1400","University Of Cyprus","Department of Turkish and Middle Eastern Studies","Master","2 years","120",NA,"English","Humanities Science"
"Turkish Studies (Phd)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1401","University Of Cyprus","Department of Turkish and Middle Eastern Studies","Doctorate","4 years","240",NA,"English","Humanities Science"
"Byzantine And Modern Greek Language And Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1303","University Of Cyprus","Department of Byzantine and Modern Greek Studies","Bachelor","4 years","241",NA,"English","Humanities Science"
"Modern Greek Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1367","University Of Cyprus","Department of Byzantine and Modern Greek Studies","Master","2 years","120",NA,"English","Humanities Science"
"European Master in Classical Cultures (Joint with Universities of Greece, Austria, Germany, France, Italy, Spain, Polonia and Turkey)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1339","University Of Cyprus","Department of Classics and Philosophy","Master",NA,NA,NA,"English","Humanities Science"
