"Programme","Programme_URL","Institution","ECTS","Language","Degree_Level"
"Bachelor in Music : Viola da gamba","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","180","French","Bachelor"
"Bachelor in Music : Violin","https://www.studyinbelgium.be/en/arts2","Arts²","180","French","Bachelor"
"Bachelor in Music : Violin","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","180","French","Bachelor"
"Bachelor in Music : Violin","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","180","French","Bachelor"
"Bachelor in Music : Violin","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","180","French","Bachelor"
"Bachelor in Music : Baroque violin","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","180","French","Bachelor"
"Bachelor in Music : Baroque violin","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","180","French","Bachelor"
"Bachelor in Music : Jazz violin","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","180","French","Bachelor"
"Bachelor in Music : Cello","https://www.studyinbelgium.be/en/arts2","Arts²","180","French","Bachelor"
"Bachelor in Music : Cello","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","180","French","Bachelor"
"Bachelor in Music : Cello","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","180","French","Bachelor"
"Bachelor in Music : Cello","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","180","French","Bachelor"
"Bachelor in Music : Baroque cello","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","180","French","Bachelor"
"Bachelor in Music : Baroque cello","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","180","French","Bachelor"
"Bachelor in Orthoptics","https://www.studyinbelgium.be/en/haute-ecole-libre-de-bruxelles-ilya-prigogine","Haute École Libre de Bruxelles Ilya Prigogine","180","French","Bachelor"
"Bachelor in Orthoptics","https://www.studyinbelgium.be/en/haute-ecole-de-la-province-de-liege","Haute Ecole de la Province de Liège","180","French","Bachelor"
"Bachelor in Philosophy","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Philosophy","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Philosophy","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Philosophy","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Philosophy","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Podiatry - chiropody","https://www.studyinbelgium.be/en/haute-ecole-leonard-de-vinci","Haute Ecole Léonard de Vinci","180","French","Bachelor"
"Bachelor in Podiatry - chiropody","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","180","French","Bachelor"
"Bachelor in Podiatry - chiropody","https://www.studyinbelgium.be/en/haute-ecole-libre-de-bruxelles-ilya-prigogine","Haute École Libre de Bruxelles Ilya Prigogine","180","French","Bachelor"
"Bachelor in Prevention, Industrial Safety and the Environment","https://www.studyinbelgium.be/en/haute-ecole-bruxelles-brabant","Haute Ecole Bruxelles-Brabant","180","French","Bachelor"
"Bachelor in Prevention, Industrial Safety and the Environment","https://www.studyinbelgium.be/en/haute-ecole-robert-schuman","Haute Ecole Robert Schuman","180","French","Bachelor"
"Bachelor in Psychomotricity","https://www.studyinbelgium.be/en/haute-ecole-leonard-de-vinci","Haute Ecole Léonard de Vinci","180","French","Bachelor"
"Bachelor in Psychomotricity","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","180","French","Bachelor"
"Bachelor in Psychomotricity","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor in Psychomotricity","https://www.studyinbelgium.be/en/haute-ecole-de-la-province-de-liege","Haute Ecole de la Province de Liège","180","French","Bachelor"
"Bachelor in Psychomotricity","https://www.studyinbelgium.be/en/haute-ecole-de-la-province-de-namur","Haute Ecole de la Province de Namur","180","French","Bachelor"
"Bachelor in Advertising","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor in Advertising","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor in Advertising","https://www.studyinbelgium.be/en/haute-ecole-francisco-ferrer","Haute Ecole Francisco Ferrer","180","French","Bachelor"
"Bachelor in Public relations","https://www.studyinbelgium.be/en/haute-ecole-albert-jacquard","Haute Ecole Albert Jacquard","180","French","Bachelor"
"Bachelor in Public relations","https://www.studyinbelgium.be/en/haute-ecole-libre-de-bruxelles-ilya-prigogine","Haute École Libre de Bruxelles Ilya Prigogine","180","French","Bachelor"
"Bachelor in Public relations","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor in Public relations","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor in Public relations","https://www.studyinbelgium.be/en/haute-ecole-lucia-de-brouckere","Haute Ecole Lucia de Brouckère","180","French","Bachelor"
"Bachelor in Public relations","https://www.studyinbelgium.be/en/haute-ecole-de-la-ville-de-liege","Haute Ecole de la ville de Liège","180","French","Bachelor"
"Bachelor in Industrial Robotics","https://www.studyinbelgium.be/en/haute-ecole-de-namur-liege-luxembourg","Haute École de Namur-Liège-Luxembourg","180","French","Bachelor"
"Bachelor in Industrial Robotics","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor in Administrative sciences and public management","https://www.studyinbelgium.be/en/haute-ecole-de-la-ville-de-liege","Haute Ecole de la ville de Liège","180","French","Bachelor"
"Bachelor in Administrative sciences and public management","https://www.studyinbelgium.be/en/haute-ecole-francisco-ferrer","Haute Ecole Francisco Ferrer","180","French","Bachelor"
"Bachelor in Agriculture","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","180","French","Bachelor"
"Bachelor in Agriculture","https://www.studyinbelgium.be/en/haute-ecole-charlemagne","Haute Ecole Charlemagne","180","French","Bachelor"
"Bachelor in Biology","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","Français, Anglais","Bachelor"
"Bachelor in Biology","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Biology","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Biology","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Biology","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Biology","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Biomedicine","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Biomedicine","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Biomedicine","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Biomedicine","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Biomedicine","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Chemistry","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Chemistry","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Chemistry","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Chemistry","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Chemistry","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Management","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Management","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Management","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-de-namur-liege-luxembourg","Haute École de Namur-Liège-Luxembourg","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-bruxelles-brabant","Haute Ecole Bruxelles-Brabant","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-en-hainaut","Haute Ecole en Hainaut","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-robert-schuman","Haute Ecole Robert Schuman","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-de-la-province-de-liege","Haute Ecole de la Province de Liège","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-ichec-ecam-isfsc","Haute Ecole ICHEC - ECAM - ISFSC","180","French","Bachelor"
"Bachelor in Industrial engineering","https://www.studyinbelgium.be/en/haute-ecole-lucia-de-brouckere","Haute Ecole Lucia de Brouckère","180","French","Bachelor"
"Bachelor in Engineering : Bioengineering","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Engineering : Bioengineering","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Engineering : Bioengineering","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Engineering","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Engineering","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Engineering","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Engineering","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","Français, Anglais","Bachelor"
"Bachelor in Engineering","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Engineering : Architectural engineering (ir.)","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Engineering : Architectural engineering (ir.)","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Engineering : Architectural engineering (ir.)","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Engineering : Architectural engineering (ir.)","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Motor sciences","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Motor sciences","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Motor sciences","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Dentistry","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Dentistry","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Dentistry","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Economics and management","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","Français, Anglais","Bachelor"
"Bachelor in Economics and management","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Economics and management","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Economics and management","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Economics and management","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","Français, Anglais","Bachelor"
"Bachelor in Economics and management","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Economics and management","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Economics","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Economics","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","English","Bachelor"
"Bachelor in Geography","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","Français, Anglais","Bachelor"
"Bachelor in Geography","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Geography","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Geography","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Geology","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Geology","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Geology","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Human and social sciences","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Human and social sciences","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Human and social sciences","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Human and social sciences","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Human and social sciences","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Human and social sciences","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Computer science","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","Français, Anglais","Bachelor"
"Bachelor in Computer science","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Computer science","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","Français, Anglais","Bachelor"
"Bachelor in Computer science","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","Français, Anglais","Bachelor"
"Bachelor in Computer science","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","Français, Anglais","Bachelor"
"Bachelor in Computer science","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Computer science","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Computer science","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Mathematics","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","Français, Anglais","Bachelor"
"Bachelor in Mathematics","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Mathematics","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Mathematics","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Mathematics","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Pharmacy","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Pharmacy","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Pharmacy","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Pharmacy","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Pharmacy","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Philosophy, Politics and Economics","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","Français, Anglais","Bachelor"
"Bachelor in Physics","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","Français, Anglais","Bachelor"
"Bachelor in Physics","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Physics","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Physics","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Physics","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","French","Bachelor"
"Bachelor in Political sciences","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","Français, Anglais","Bachelor"
"Bachelor in Political sciences","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Political sciences","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Political sciences","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Political sciences","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Political sciences","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Political sciences","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Political sciences","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","180","Français, Anglais","Bachelor"
"Bachelor in Psychology and Education","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Psychology and Education","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Psychology and Education","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Psychology and Education","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Psychology and Education","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Psychology and Education : Speech therapy","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Psychology and Education : Speech therapy","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Psychology and Education : Speech therapy","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Psychology and Education : Speech therapy","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Religious sciences","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Sociology and anthropology","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","Français, Anglais","Bachelor"
"Bachelor in Sociology and anthropology","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Sociology and anthropology","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Bachelor in Sociology and anthropology","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Image techniques : Film-making techniques","https://www.studyinbelgium.be/en/haute-ecole-libre-de-bruxelles-ilya-prigogine","Haute École Libre de Bruxelles Ilya Prigogine","180","French","Bachelor"
"Bachelor in Image techniques : Photography","https://www.studyinbelgium.be/en/haute-ecole-libre-de-bruxelles-ilya-prigogine","Haute École Libre de Bruxelles Ilya Prigogine","180","French","Bachelor"
"Bachelor in Techniques and services","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor in Techniques and services","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor in Graphic techniques : Publishing techniques","https://www.studyinbelgium.be/en/haute-ecole-francisco-ferrer","Haute Ecole Francisco Ferrer","180","French","Bachelor"
"Bachelor in Graphic techniques : Infography techniques","https://www.studyinbelgium.be/en/haute-ecole-albert-jacquard","Haute Ecole Albert Jacquard","180","Français, Anglais","Bachelor"
"Bachelor in Graphic techniques : Infography techniques","https://www.studyinbelgium.be/en/haute-ecole-en-hainaut","Haute Ecole en Hainaut","180","French","Bachelor"
"Bachelor in Graphic techniques : Infography techniques","https://www.studyinbelgium.be/en/haute-ecole-francisco-ferrer","Haute Ecole Francisco Ferrer","180","French","Bachelor"
"Bachelor in Graphic techniques : Infography techniques","https://www.studyinbelgium.be/en/haute-ecole-de-la-province-de-liege","Haute Ecole de la Province de Liège","180","French","Bachelor"
"Bachelor in Textile : Fashion techniques","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor in Textile : Fashion techniques","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor in Theatre and drama : Drama","https://www.studyinbelgium.be/en/arts2","Arts²","180","French","Bachelor"
"Bachelor in Theatre and drama : Drama","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","180","French","Bachelor"
"Bachelor in Theatre and drama : Drama","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","180","French","Bachelor"
"Bachelor in Translation - Interpretation","https://www.studyinbelgium.be/en/universite-de-liege","Université de Liège","180","French","Bachelor"
"Bachelor in Translation - Interpretation","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","180","French","Bachelor"
"Bachelor in Translation - Interpretation","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","180","French","Bachelor"
"Bachelor in Translation - Interpretation","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","180","French","Bachelor"
"Certificat d'aptitude pédagogique approprié à l'enseignement supérieur (CAPAES)","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","De 20 à 30","French",NA
"Certificat d'aptitude pédagogique approprié à l'enseignement supérieur (CAPAES)","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","De 20 à 30","French",NA
"Certificat d'infirmier ayant une expertise particulière en soins palliatifs","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","De 15 à 15","French",NA
"University Certificate: Psychotherapy - psychological care and assessment","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","60","English",NA
"University Certificate : Support for the professional practices of intern supervisors","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Psychological support for parenthood","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","13","French",NA
"University Certificate : Applied data analysis for R&D - advanced","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Applied data analysis for R&D - introduction","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","12","French",NA
"University Certificate : Geopolitical analysis of powers","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","20","French",NA
"University Certificate : Leadership of mindfulness training","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","11","French",NA
"University Certificate : Multidisciplinary approach to sexual abuse","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","11","French",NA
"Certificat d'université : Approfondissement des connaissances pour le traducteur et/ou l'interprète juré","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Wood for construction","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Building information management (BIM), Integrated design and management","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","12","French",NA
"University Certificate : Clinical, regulatory and quality affairs for medical devices and in-vitro diagnostic","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","17","English",NA
"University Certificate : Web communication","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","18","French",NA
"University Certificate : Level 1 Prevention Advisor","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","40","French",NA
"University Certificate : Prevention advisor specialised in occupational hygiene","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","40","French",NA
"Certificat d'université : Cybersécurité","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","15","English",NA
"University Certificate : Diagnostic and clinical care for professional and parent burnout","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","16","French",NA
