"Title","Study_Level","University","City","Credits","Field","Language"
"Master Programme (Two Years) in Textile Engineering","Master","University of Borås","Borås","120 Credits","Materials, Construction and Manufacturing","English"
"Master Programme in Civil Engineering, with specialization in mining and Geotechnical Engineering, international students","Master","Luleå University of Technology","Luleå","120 Credits","Materials, Construction and Manufacturing","English"
"Master Programme in Energy Efficient Built Environment","Master","Dalarna University","Borlänge","60 Credits","Materials, Construction and Manufacturing","English"
"Master Programme in Energy Efficient Built Environment","Master","Dalarna University","Borlänge","60 Credits","Materials, Construction and Manufacturing","English"
"Master Programme in Geospatial Information Science","Master","University of Gävle","Gävle","120 Credits","Materials, Construction and Manufacturing","English"
"Master Programme in GIS and Applied Geography","Master","University of Gävle","Varied","60 Credits","Materials, Construction and Manufacturing","English"
"Master Programme in Maintenance Engineering, international students","Master","Luleå University of Technology","Luleå","120 Credits","Materials, Construction and Manufacturing","English"
"Master Programme in Resource Recovery - Polymer Materials for the Circular Economy","Master","University of Borås","Borås","120 Credits","Materials, Construction and Manufacturing","English"
"Master Programme in Textile Value Chain Management","Master","University of Borås","Borås","120 Credits","Materials, Construction and Manufacturing","English"
"Master programme in Wood Technology, international students","Master","Luleå University of Technology","Skellefteå","120 Credits","Materials, Construction and Manufacturing","English"
"Master's Programme (one year) in Additive Manufacturing","Master","Mid Sweden University","Östersund","60 Credits","Materials, Construction and Manufacturing","English"
"Master's Programme in Additive Manufacturing","Master","Uppsala University","Uppsala","120 Credits","Materials, Construction and Manufacturing","English"
"Master's programme in Architecture","Master","Lund University","Lund","120 Credits","Materials, Construction and Manufacturing","English"
"Master's Programme in Architecture and Urban Design","Master","Umeå University","Umeå","120 Credits","Materials, Construction and Manufacturing","English"
"Master's Programme in Battery Technology and Energy Storage","Master","Uppsala University","Uppsala","120 Credits","Materials, Construction and Manufacturing","English"
"Master's Programme in Chemistry - Bio and Nano Materials","Master","Uppsala University","Uppsala","120 Credits","Materials, Construction and Manufacturing","English"
"Master's Programme in Digital Architecture and Emergent Futures","Master","Lund University","Lund","120 Credits","Materials, Construction and Manufacturing","English"
"Master's Programme in Energy Smart Innovation in the Built Environment","Master","Halmstad University","Halmstad","120 Credits","Materials, Construction and Manufacturing","English"
"Master's programme in Energy-efficient and Environmental Building Design","Master","Lund University","Lund","120 Credits","Materials, Construction and Manufacturing","English"
"Master's Programme in Engineering Physics","Master","Mid Sweden University","Sundsvall","120 Credits","Materials, Construction and Manufacturing","English"
"Master's Programme in Environmental Management and Physical Planning","Master","Stockholm University","Stockholm","120 Credits","Materials, Construction and Manufacturing","English"
"Master's programme in Food Technology and Nutrition","Master","Lund University","Lund","120 Credits","Materials, Construction and Manufacturing","English"
"Master's Programme in Geography","Master","University of Gothenburg","Göteborg","120 Credits","Materials, Construction and Manufacturing","English"
"Ethics, Science, and Policy, Master's Programme - First and main admission round","Master","Linköping University","Linköping","120 Credits","Religious Studies","English"
"Introduction to Orthodox Theology",NA,"University College Stockholm","Södertälje","30 Credits","Religious Studies","English"
"Introductory year to Eastern Christian Studies","Master","University College Stockholm","Södertälje","60 Credits","Religious Studies","English"
"Introductory year to Eastern Christian Studies","Master","University College Stockholm","Södertälje","60 Credits","Religious Studies","English"
"Master in Theology, systematic theology","Master","University of Gothenburg","Göteborg","120 Credits","Religious Studies","English"
"Master in Theology, systematic theology","Master","University of Gothenburg","Varied","120 Credits","Religious Studies","English"
"Master Program in Religious Studies","Master","University of Gävle","Varied","120 Credits","Religious Studies","English"
"Master's Programme in Euroculture","Master","Uppsala University","Uppsala","120 Credits","Religious Studies","English"
"Master's Programme in Humanitarian Action and Conflict","Master","Uppsala University","Uppsala","60 Credits","Religious Studies","English"
"Master's Programme in International Humanitarian Action","Master","Uppsala University","Uppsala","120 Credits","Religious Studies","English"
"Master's Programme in Religion in Peace and Conflict","Master","Uppsala University","Uppsala","120 Credits","Religious Studies","English"
"Master's Programme in Religious Roots of Europe","Master","Lund University","Lund","120 Credits","Religious Studies","English"
"Pre-Masters Program in Eastern Christian Studies","Master","University College Stockholm","Södertälje","60 Credits","Religious Studies","English"
"Animal Science - master´s programme","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Natural Science","English"
"Applied Ethology and Animal Biology, Master's Programme","Master","Linköping University","Linköping","120 Credits","Natural Science","English"
"Applied Mathematics Programme","Bachelor","Linnaeus University (Kalmar Växjö)","Växjö","180 Credits","Natural Science","English"
"Aquatic Ecology, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Kalmar","120 Credits","Natural Science","English"
"Arctic Mineral Resources, specialization Mineral Entrepreneurship, international students","Master","Luleå University of Technology","Luleå","120 Credits","Natural Science","English"
"Arctic Mineral Resources, specialization Mineral Resource Management, international students","Master","Luleå University of Technology","Luleå","120 Credits","Natural Science","English"
"Atmosphere, Climate and Ecosystems, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Natural Science","English"
"Atmosphere, Climate and Ecosystems, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Natural Science","English"
"Bachelor of Science Programme in Development Studies","Bachelor","Lund University","Lund","180 Credits","Natural Science","English"
"Bachelor of Science Programme in Life Science - Bachelor of Science Programme in Life Science","Bachelor","Umeå University","Umeå","180 Credits","Natural Science","English"
"Bachelor of Science Programme in Life Science - Bachelor of Science Programme in Life Science","Bachelor","Umeå University","Umeå","180 Credits","Natural Science","English"
"Bachelor Programme in Mineral Resource Engineering,International students","Bachelor","Luleå University of Technology","Luleå","180 Credits","Natural Science","English"
"Bachelor's Programme in Biomedicine","Bachelor","Karolinska Institutet","Solna","180 Credits","Natural Science","English"
"Bachelor's Programme in Biomedicine","Bachelor","Lund University","Lund","180 Credits","Natural Science","English"
"Bachelor's Programme in Biomedicine","Bachelor","Karolinska Institutet","Solna","180 Credits","Natural Science","English"
"Bachelor's Programme in Earth Science, Distance Learning","Bachelor","Stockholm University","Stockholm","180 Credits","Natural Science","English"
"Bachelor's Programme in Energy Transition - Sustainability and Leadership","Bachelor","Uppsala University","Gotland","180 Credits","Natural Science","English"
"Bachelor's Programme in Marine Geoscience","Bachelor","Stockholm University","Stockholm","180 Credits","Natural Science","English"
"Bachelor´s Programme in Experimental and Industrial Biomedicine (International admissions round)","Bachelor","Linköping University","Linköping","180 Credits","Natural Science","English"
"Biodiversity and Systematics, Nordic Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Natural Science","English"
"Biology, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Natural Science","English"
"Biomarkers in Molecular Medicine - Master's Programme","Master","University of Skövde","Skövde","120 Credits","Natural Science","English"
"Biomedical Engineering, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Natural Science","English"
"Biomedical Surface Science, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Natural Science","English"
"Biomedical Surface Science, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Natural Science","English"
"Biomedical Surface Science, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Natural Science","English"
"Biomedicine - Bachelor's Programme","Bachelor","University of Skövde","Skövde","180 Credits","Natural Science","English"
"Biotechnology, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Natural Science","English"
"Chemistry, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Kalmar","60 Credits","Natural Science","English"
"Chemistry, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Kalmar","120 Credits","Natural Science","English"
"Chemistry, Master's Programme","Master","Linköping University","Linköping","120 Credits","Natural Science","English"
"Complex Adaptive Systems, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Natural Science","English"
"Computational Materials Science, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Natural Science","English"
"Computational Materials Science, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Natural Science","English"
"Computational Social Science, Master's Programme - First and main admission round","Master","Linköping University","Norrköping","120 Credits","Natural Science","English"
"Conservation and Management of Fish and Wildlife (MSc)","Master","Swedish University of Agricultural Sciences","Umeå","120 Credits","Natural Science","English"
"Ecology and Sustainable Development, Master's Programme","Master","Linköping University","Linköping","120 Credits","Natural Science","English"
"Ecotechnology","Bachelor","Mid Sweden University","Östersund","180 Credits","Natural Science","English"
"Ecotechnology","Bachelor","Mid Sweden University","Östersund","180 Credits","Natural Science","English"
"Ecotoxicology, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Natural Science","English"
"Ecotoxicology, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Natural Science","English"
"Energy and Management for Sustainable Development, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Natural Science","English"
"EnvEuro - European Master in Environmental Science","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Natural Science","English"
"Environment, Sustainability and Global Development, Master Programme","Master","Södertörn University","Huddinge","120 Credits","Natural Science","English"
"Environment, Sustainability and Global Development, Master Programme (INT)","Master","Södertörn University","Huddinge","120 Credits","Natural Science","English"
"Environmental Communication and Management - Master's Programme","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Natural Science","English"
"Environmental Sciences","Master","University of Gothenburg","Göteborg","120 Credits","Natural Science","English"
"Environmental Sciences","Master","University of Gothenburg","Göteborg","120 Credits","Natural Science","English"
"Evolutionary Ecology, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Kalmar","120 Credits","Natural Science","English"
"Experimental and Medical Biosciences, Master's Programme (International admissions round)","Master","Linköping University","Linköping","120 Credits","Natural Science","English"
"Aeronautical Engineering, Master's Programme","Master","Linköping University","Linköping","120 Credits","Technology","English"
"Agricultural Economics and Management - Master's Programme","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Technology","English"
"AI Engineering (master)","Master","Jönköping University","Jönköping","120 Credits","Technology","English"
"Applied Mathematics Programme","Bachelor","Linnaeus University (Kalmar Växjö)","Växjö","180 Credits","Technology","English"
"Applied Mechanics, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Technology","English"
"Arctic Mineral Resources, specialization Mineral Entrepreneurship, international students","Master","Luleå University of Technology","Luleå","120 Credits","Technology","English"
"Arctic Mineral Resources, specialization Mineral Resource Management, international students","Master","Luleå University of Technology","Luleå","120 Credits","Technology","English"
"Artificial Intelligence - Bachelor Programme in Computer Science","Bachelor","Karlstad University","Karlstad","180 Credits","Technology","English"
"Artificial Intelligence - Bachelor Programme in Computer Science","Bachelor","Karlstad University","Karlstad","180 Credits","Technology","English"
"Bachelor in Sustainable Enterprise Development","Bachelor","Jönköping University","Jönköping","180 Credits","Technology","English"
"Bachelor of Science Program in Business and Economics","Bachelor","Stockholm School of Economics","Stockholm","180 Credits","Technology","English"
"Bachelor of Science Program in Retail Management","Bachelor","Stockholm School of Economics","Stockholm","180 Credits","Technology","English"
"Bachelor of Science Programme in Life Science - Bachelor of Science Programme in Life Science","Bachelor","Umeå University","Umeå","180 Credits","Technology","English"
"Bachelor of Science Programme in Life Science - Bachelor of Science Programme in Life Science","Bachelor","Umeå University","Umeå","180 Credits","Technology","English"
"Bachelor programme in Computer Game Development and Programming, International students","Bachelor","Luleå University of Technology","Skellefteå","180 Credits","Technology","English"
"Bachelor Programme in Computer graphics for game and film, International students","Bachelor","Luleå University of Technology","Skellefteå","180 Credits","Technology","English"
"Bachelor Programme in Computer Science and Engineering, specializing in the Internet of Things","Bachelor","Kristianstad University","Kristianstad","180 Credits","Technology","English"
"Bachelor Programme in Mineral Resource Engineering,International students","Bachelor","Luleå University of Technology","Luleå","180 Credits","Technology","English"
"Bachelor Programme in Software Development","Bachelor","Kristianstad University","Kristianstad","180 Credits","Technology","English"
"Bachelor's Programme in Energy Transition - Sustainability and Leadership","Bachelor","Uppsala University","Gotland","180 Credits","Technology","English"
"Bachelor's Programme in Game Design and Graphics","Bachelor","Uppsala University","Gotland","180 Credits","Technology","English"
"Bachelor's Programme in Game Design and Programming","Bachelor","Uppsala University","Gotland","180 Credits","Technology","English"
"Bachelor's Programme in Game Design and Project Management","Bachelor","Uppsala University","Gotland","180 Credits","Technology","English"
"Bachelor's Programme in Information and Communication Technology","Bachelor","KTH Royal Institute of Technology","Stockholm","180 Credits","Technology","English"
"Bachelor's Programme in Leadership - Quality Management - Improvement - Campus","Bachelor","Uppsala University","Gotland","180 Credits","Technology","English"
"Biomedical Engineering, Master's Programme","Master","Linköping University","Linköping","120 Credits","Technology","English"
"Biomedical Engineering, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Technology","English"
"Biotechnology, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Technology","English"
"Business Development and Marketing - Masters Programme","Master","University of Skövde","Skövde","60 Credits","Technology","English"
"Business Process Control and Supply Chain Management, Master Programme - Frontiers in Logistics & Supply Chain Management","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Technology","English"
"Business Process Control and Supply Chain Management, Master Programme - Frontiers in Management Accounting & Process-based Control","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Technology","English"
"Chemistry, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Kalmar","60 Credits","Technology","English"
"Complex Adaptive Systems, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Technology","English"
"Computational Methods in Engineering - Master's Programme","Master","University of Skövde","Skövde","120 Credits","Technology","English"
"Computer Science - Algorithms, Languages and Logic, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Technology","English"
"Computer Science, Master's Programme","Master","Linköping University","Linköping","120 Credits","Technology","English"
"Computer Science: Applied Data Science, Master's Program (Two-Year)","Master","Malmö University","Malmö","120 Credits","Technology","English"
"Computer Science: Applied Data Science, Master's Program (Two-Year)","Master","Malmö University","Malmö","120 Credits","Technology","English"
"Computer Science: Innovation for Change in a Digital Society, Master's Program (Two-Year)","Master","Malmö University","Malmö","120 Credits","Technology","English"
"Computer Science: Innovation for Change in a Digital Society, Master's Program (Two-Year)","Master","Malmö University","Malmö","120 Credits","Technology","English"
"Computer Science: Internet of Things, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Technology","English"
"Computer Science: Internet of Things, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Technology","English"
"Computer Systems and Cybersecurity, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Technology","English"
"Cybersecurity (one year master)","Master","Jönköping University","Jönköping","60 Credits","Technology","English"
"Cybersecurity and Network Administration","Bachelor","University of Skövde","Skövde","180 Credits","Technology","English"
"Cybersecurity, Master's Programme","Master","Linköping University","Linköping","120 Credits","Technology","English"
"Data Science and AI, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Technology","English"
"Data Science and Information Engineering, Master's Programme","Master","Linköping University","Linköping","120 Credits","Technology","English"
"Design and Construction Project Management, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Technology","English"
"Digital Product Development (master)","Master","Jönköping University","Jönköping","120 Credits","Technology","English"
"European Legal Studies: Master's Programme","Master","Södertörn University","Huddinge","60 Credits","Law and Legal Studies","English"
"European Legal Studies: Master's Programme (INT)","Master","Södertörn University","Huddinge","60 Credits","Law and Legal Studies","English"
"International Master's Program in Curating, including Art, Management and Law","Master","Stockholm University","Stockholm","120 Credits","Law and Legal Studies","English"
"Joint Nordic Master's Programme in Environmental Law","Master","Uppsala University","Uppsala","120 Credits","Law and Legal Studies","English"
"Master of Laws (60 credits) in Environmental Law","Master","Stockholm University","Stockholm","60 Credits","Law and Legal Studies","English"
"Master of Laws (LL.M.) (60 credits) in European Economic Law","Master","Stockholm University","Stockholm","60 Credits","Law and Legal Studies","English"
"Master of Laws (LL.M.) (60 credits) in European Intellectual Property Law","Master","Stockholm University","Stockholm","60 Credits","Law and Legal Studies","English"
"Master of Laws (LL.M.) (60 credits) in International Commercial Arbitration","Master","Stockholm University","Stockholm","60 Credits","Law and Legal Studies","English"
"Master Programme in European Business Law","Master","Lund University","Lund","120 Credits","Law and Legal Studies","English"
"Master Programme in International Human Rights Law","Master","Lund University","Lund","120 Credits","Law and Legal Studies","English"
"Master's Programme in Constitutional Law and Human Rights","Master","Umeå University","Umeå","60 Credits","Law and Legal Studies","English"
"Master's Programme in Constitutional Law and Human Rights","Master","Umeå University","Umeå","60 Credits","Law and Legal Studies","English"
"Master's Programme in Humanitarian Action and Conflict","Master","Uppsala University","Uppsala","60 Credits","Law and Legal Studies","English"
"Master's Programme in International Humanitarian Action","Master","Uppsala University","Uppsala","120 Credits","Law and Legal Studies","English"
"Master's Programme in Investment Treaty Arbitration","Master","Uppsala University","Uppsala","60 Credits","Law and Legal Studies","English"
"Master's Programme in Transdisciplinary Studies of Climate, Environment and Energy, STUDY TRACK in Environmental Geoscience","Master","Stockholm University","Stockholm","120 Credits","Law and Legal Studies","English"
"Master's Programme in Transdisciplinary Studies of Climate, Environment and Energy, STUDY TRACK in Environmental Humanities and Law","Master","Stockholm University","Stockholm","120 Credits","Law and Legal Studies","English"
"Master's Programme in Transdisciplinary Studies of Climate, Environment and Energy, STUDY TRACK in Environmental Risk and Mitigation","Master","Stockholm University","Stockholm","120 Credits","Law and Legal Studies","English"
"Master's Programme in Transdisciplinary Studies of Climate, Environment and Energy, STUDY TRACK in Environmental Social Sciences","Master","Stockholm University","Stockholm","120 Credits","Law and Legal Studies","English"
"Master's Programme in Transdisciplinary Studies of Climate, Environment and Energy, STUDY TRACK in Global Change Biology","Master","Stockholm University","Stockholm","120 Credits","Law and Legal Studies","English"
"Master's Programme in Transdisciplinary Studies of Climate, Environment and Energy, STUDY TRACK in Transdisciplinary Approaches to Climate Change","Master","Stockholm University","Stockholm","120 Credits","Law and Legal Studies","English"
"Master´s Programme in European and International Trade and Tax Law","Master","Lund University","Lund","60 Credits","Law and Legal Studies","English"
"Master´s programme in International Operational Law","Master","Swedish Defence University","Stockholm","60 Credits","Law and Legal Studies","English"
"Sea and Society, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Law and Legal Studies","English"
"Sea and Society, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Law and Legal Studies","English"
"Ageing and Social Change, Master's Programme, Distance - First and main admission round","Master","Linköping University","Norrköping","120 Credits","Social Science","English"
"Ageing and Social Change, Master's Programme, on Campus - First and main admission round","Master","Linköping University","Norrköping","120 Credits","Social Science","English"
"Arctic Mineral Resources, specialization Mineral Entrepreneurship, international students","Master","Luleå University of Technology","Luleå","120 Credits","Social Science","English"
"Arctic Mineral Resources, specialization Mineral Resource Management, international students","Master","Luleå University of Technology","Luleå","120 Credits","Social Science","English"
"Bachelor in International Economics","Bachelor","Jönköping University","Jönköping","180 Credits","Social Science","English"
"Bachelor in Marketing Management","Bachelor","Jönköping University","Jönköping","180 Credits","Social Science","English"
"Bachelor in Sustainable Enterprise Development","Bachelor","Jönköping University","Jönköping","180 Credits","Social Science","English"
"Bachelor of Science Program in Business and Economics","Bachelor","Stockholm School of Economics","Stockholm","180 Credits","Social Science","English"
"Bachelor of Science Program in Retail Management","Bachelor","Stockholm School of Economics","Stockholm","180 Credits","Social Science","English"
"Bachelor of Science Programme in Development Studies","Bachelor","Lund University","Lund","180 Credits","Social Science","English"
"Bachelor Programme in Economy and Society","Bachelor","Lund University","Lund","180 Credits","Social Science","English"
"Bachelor Programme in Latin American Studies with specialization in Portuguese","Bachelor","Stockholm University","Stockholm","180 Credits","Social Science","English"
"Bachelor Programme in Latin American Studies with specialization in Portuguese","Bachelor","Stockholm University","Stockholm","180 Credits","Social Science","English"
"Bachelor Programme in Latin American Studies with specialization in Spanish","Bachelor","Stockholm University","Stockholm","180 Credits","Social Science","English"
"Bachelor Programme in Latin American Studies with specialization in Spanish","Bachelor","Stockholm University","Stockholm","180 Credits","Social Science","English"
"Bachelor's Programme in Energy Transition - Sustainability and Leadership","Bachelor","Uppsala University","Gotland","180 Credits","Social Science","English"
"Bachelor's Programme in Game Design and Graphics","Bachelor","Uppsala University","Gotland","180 Credits","Social Science","English"
"Bachelor's Programme in Game Design and Programming","Bachelor","Uppsala University","Gotland","180 Credits","Social Science","English"
"Bachelor's Programme in Game Design and Project Management","Bachelor","Uppsala University","Gotland","180 Credits","Social Science","English"
"Bachelor's Programme in International Business and Politics","Bachelor","Stockholm University","Stockholm","180 Credits","Social Science","English"
"Bachelor's Programme in International Business and Politics","Bachelor","Stockholm University","Stockholm","180 Credits","Social Science","English"
"Bachelor's Programme in International Relations","Bachelor","University of Gothenburg","Göteborg","180 Credits","Social Science","English"
"Bachelor's Programme in International Relations","Bachelor","University of Gothenburg","Göteborg","180 Credits","Social Science","English"
"Bachelor's Programme in Leadership - Quality Management - Improvement - Campus","Bachelor","Uppsala University","Gotland","180 Credits","Social Science","English"
"Business Administration - Strategy and Management in International Organisations, Master's Programme - First and main admission round","Master","Linköping University","Linköping","120 Credits","Social Science","English"
"Business Development and Marketing - Masters Programme","Master","University of Skövde","Skövde","60 Credits","Social Science","English"
"Child Studies, Master´s Programme, Distance","Master","Linköping University","Linköping","120 Credits","Social Science","English"
"Cognitive Neuroscience: Mind and Brain - Master's Programme","Master","University of Skövde","Skövde","60 Credits","Social Science","English"
"Communication for Development","Master","Malmö University","Varied","60 Credits","Social Science","English"
"Communication for Development","Master","Malmö University","Varied","60 Credits","Social Science","English"
"Computational Social Science, Master's Programme - First and main admission round","Master","Linköping University","Norrköping","120 Credits","Social Science","English"
"Conversion programme for persons with a foreign degree in Social Work","Master","Stockholm University","Stockholm","120 Credits","Social Science","English"
"Criminology, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Social Science","English"
"Criminology, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Social Science","English"
"Design and Construction Project Management, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Social Science","English"
"Energy and Management for Sustainable Development, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Social Science","English"
"English and Education: Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Social Science","English"
"English and Education: Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Social Science","English"
"Entrepreneurship and Business Design, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Social Science","English"
"Entrepreneurship, Sustainability and Social Change, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Social Science","English"
"Environmental Communication and Management - Master's Programme","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Social Science","English"
"Ethics, Science, and Policy, Master's Programme - First and main admission round","Master","Linköping University","Linköping","120 Credits","Social Science","English"
"Ethnic and Migration Studies, Master's Programme - First and main admission round","Master","Linköping University","Norrköping","120 Credits","Social Science","English"
"European Studies - Politics, Societies and Cultures, Bachelor's Programme","Bachelor","Malmö University","Malmö","180 Credits","Social Science","English"
"European Studies - Politics, Societies and Cultures, Bachelor's Programme","Bachelor","Malmö University","Malmö","180 Credits","Social Science","English"
"Gender Studies - Intersectionality and Change, Master´s Programme, Distance","Master","Linköping University","Linköping","120 Credits","Social Science","English"
"Gendering Practices, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Social Science","English"
"Gendering Practices, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Social Science","English"
"Global Peace, Justice and Well-being, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Social Science","English"
"Global Studies: Sustainable Societies and Social Change (One Year)","Master","Jönköping University","Jönköping","60 Credits","Social Science","English"
"Bachelor of Science in Social Work - Specialization International Social Work","Bachelor","University of Gävle","Gävle","180 Credits","Social Work and Welfare","English"
"Child Studies, Master´s Programme, Distance","Master","Linköping University","Linköping","120 Credits","Social Work and Welfare","English"
"Conversion programme for persons with a foreign degree in Social Work","Master","Stockholm University","Stockholm","120 Credits","Social Work and Welfare","English"
"Interventions in Childhood (One Year)","Master","Jönköping University","Jönköping","60 Credits","Social Work and Welfare","English"
"Master by Research in Human Sciences - Sports Sciences (IDRA)","Master","Mid Sweden University","Östersund","120 Credits","Social Work and Welfare","English"
"Master by Research in Human Sciences - Tourism Studies (TURA)","Master","Mid Sweden University","Östersund","120 Credits","Social Work and Welfare","English"
"Master of Science Programme in Development Studies","Master","Lund University","Lund","120 Credits","Social Work and Welfare","English"
"Master of Science Programme in Social Scientific Data Analysis","Master","Lund University","Lund","120 Credits","Social Work and Welfare","English"
"Master's Programme in Social Work and Human Rights","Master","University of Gothenburg","Göteborg","120 Credits","Social Work and Welfare","English"
"Master's Programme in Social Work and Human Rights","Master","University of Gothenburg","Göteborg","120 Credits","Social Work and Welfare","English"
"Master's Programme in Transformative Game Design","Master","Uppsala University","Varied","60 Credits","Social Work and Welfare","English"
"Outdoor and Sustainability Education, Master's Programme","Master","Linköping University","Linköping","60 Credits","Social Work and Welfare","English"
