"Title","Subject","Degree","Institution","ECTS","Program_Link","Language"
"Environmental Engineering 1:1 DTU-TUM","Engineering","Master (2 years) of Science in Environmental Engineering","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/environmental-engineering-1-1-dtu-tum?filters=","English"
"Environmental Engineering 1:1 DTU-EPFL","Engineering
                Teacher's training","Master (2 years) of Science in Environmental Engineering","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/environmental-engineering-1-1-dtu-epfl?filters=","English"
"Environmental Management and Sustainability Science, Specialisation of Urban, Energy and Environmental Planning","Agriculture and environment
                Engineering
                Interdisciplinary Studies
                Mathematics, natural- and computer science","Master (2 years) of Science (MSc) in Engineering (Urban, Energy and Environmental Planning with specialisation in Environmental Management and Sustainability Science)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/environmental-management-and-sustainability?filters=","English"
"Environmental Science","Agriculture and environment
                Interdisciplinary Studies
                Mathematics, natural- and computer science","Master (2 years) of natural science,","Roskilde University (RUC)",NA,"https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/environmental-science?filters=","English"
"Environmental Science (Formerly Environmental Chemistry and Health)","Agriculture and environment
                Mathematics, natural- and computer science","Master (2 years) of Science in Environmental Science","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/environmental-science-formerly-environmental?filters=","English"
"Environmental Science, MSc in Technology","Agriculture and environment
                Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Technology (Environmental Science)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/environmental-science-msc-in-technology?filters=","English"
"Erasmus Mundus in Security and Cloud Computing","Engineering","Master (2 years) of Science in Security and Cloud Computing","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/erasmus-mundus-in-security-and-cloud-computing?filters=","English"
"EU Studies, Elective study profile of International Relations","Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of Science (MSc) in Social Sciences in International Relations, European Studies","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/eu-studies-elective-study-profile-of-international?filters=","English"
"Euro-Asia Business Management (not available in English from September 2022)","Economics, commerce, management and accounting","Bachelor of Euro-Asia Business Management","International Business Academy (IBA)",120,"https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/euro-asia-business-management-not-available-in?filters=","English"
"European Executive MBA (e-learning)","Economics, commerce, management and accounting","Master (2 years) of Business Administraton (e-learning)","International Business Academy (IBA)",90,"https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/european-executive-mba-e-learning?filters=","English"
"European Master in Tourism Management","Hotel, tourism, leisure, transport and logistics","Master (2 years) of Science in Tourism Management","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/kolding/european-master-in-tourism-management?filters=","English"
"European Studies","Humanities, social sciences, communication and arts","Master (2 years) of Arts in European Studies","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/european-studies?filters=","English"
"European Studies","Humanities, social sciences, communication and arts
                Law, public administration, public order and safety","Bachelor of Science in European Studies","University of Southern Denmark (SDU)",180,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/european-studies?filters=","English"
"European Wind Energy Master","Engineering","Master (2 years) of European Wind Energy","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/european-wind-energy-master?filters=","English"
"Executive MBA","Economics, commerce, management and accounting","Master (2 years) of Executive MBA","Copenhagen Business School (CBS)",60,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/executive-mba?filters=","English"
"Executive MBA (part-time)","Economics, commerce, management and accounting","Master (2 years) of Executive MBA","International Business Academy (IBA)",90,"https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/executive-mba-part-time?filters=","English"
"Executive MBA in Shipping and Logistics (The Blue MBA)","Economics, commerce, management and accounting","Master (2 years) of","Copenhagen Business School (CBS)",60,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/executive-mba-in-shipping-and-logistics-the-blue?filters=","English"
"Experimental Architecture, Computational Design and Digital Fabrication","Engineering","Summer School of Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/experimental-architecture-computational-design-and?filters=","English"
"Experimental Fluid Mechanics","Engineering","Summer School of Mechanical Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/experimental-fluid-mechanics?filters=","English"
"Export and Technology Management (exchange programme)","Economics, commerce, management and accounting","Short-term programme of Export and Technology","University College of Northern Denmark (UCN)",30,"https://studyindenmark.dk/portal/university-college-of-northern-denmark-ucn/ucn-business/export-and-technology-management-exchange?filters=","English"
"Fashion Design - Design & Business (Top-up degree)","Architecture, design and visual arts
                Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Top-up degree of Design and Business","VIA University College",90,"https://studyindenmark.dk/portal/via-university-college/campus-herning/fashion-design-design-business-top-up-degree?filters=","English"
"Fashion Design - Design, Technology & Business (AP degree)","Architecture, design and visual arts
                Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Academy Profession Degree of Design, Technology and Business","VIA University College",120,"https://studyindenmark.dk/portal/via-university-college/campus-herning/fashion-design-design-technology-business-ap?filters=","English"
"Fashion, Clothing & Textiles","Architecture, design and visual arts","Master (2 years) of Design","Royal Danish Academy -  Architecture, Design and Conservation",120,"https://studyindenmark.dk/portal/royal-danish-academy-architecture-design-and/copenhagen/fashion-clothing-textiles?filters=","English"
"﻿Anthropology - Visual Anthropology","Humanities, social sciences, communication and arts","Master (2 years) of Science in Anthropology","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/feffanthropology-visual-anthropology?filters=","English"
"Film and Media Studies","Humanities, social sciences, communication and arts","Master (2 years) of Arts in Film and Media Studies","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/south-campus/film-and-media-studies?filters=","English"
"Film Composition","Music and performing arts","Master (2 years) of","Danish National Academy of Music",120,"https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/film-composition?filters=","English"
"Finance and Investments (MSc)","Economics, commerce, management and accounting","Master (2 years) of Science in Economics and Business Administration","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/finance-and-investments-msc?filters=","English"
"Finance and Strategic Management (MSc)","Economics, commerce, management and accounting","Master (2 years) of Science in Economics and Business Administration","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/finance-and-strategic-management-msc?filters=","English"
"Finance, Specialisation of Economics and Business Administration","Economics, commerce, management and accounting","Master (2 years) of Science (MSc) in Economics and Business Administration (Finance)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/finance-specialisation-of-economics-and-business?filters=","English"
"Fluids and Process Systems (Sustainable Energy Engineering)","Engineering","Master (2 years) of Science in Engineering (Sustainable Energy Engineering)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/esbjerg/fluids-and-process-systems-sustainable-energy?filters=","English"
"Folk Musician","Music and performing arts","Master (2 years) of","Danish National Academy of Music",120,"https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/folk-musician-33754?filters=","English"
"Folk Musician","Music and performing arts","Bachelor of","Danish National Academy of Music",180,"https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/folk-musician?filters=","English"
"Food Innovation and Health","Agriculture and environment","Master (2 years) of Science in Food Innovation and Health","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/food-innovation-and-health?filters=","English"
"Food Science and Technology","Architecture, design and visual arts
                Mathematics, natural- and computer science","Master (2 years) of Science in Food Science and Technology","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/food-science-and-technology?filters=","English"
"Food Technology","Engineering","Master (2 years) of Science in Food Technology","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/food-technology?filters=","English"
"Forest and Nature Management","Agriculture and environment","Master (2 years) of Science in Forest and Nature Management","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/south-campus/forest-and-nature-management?filters=","English"
"Fuel Cells and Hydrogen Technology, Specialisation of Energy Engineering","Engineering","Master (2 years) of Science (MSc) in Engineering (Energy Engineering with specialisation in Fuel Cells and Hydrogen Technology)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/fuel-cells-and-hydrogen-technology-specialisation?filters=","English"
"Full-time MBA","Economics, commerce, management and accounting","Master (1 year) of","Copenhagen Business School (CBS)",60,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/full-time-mba?filters=","English"
"Furniture Design","Architecture, design and visual arts","Master (2 years) of Architecture","Royal Danish Academy -  Architecture, Design and Conservation",NA,"https://studyindenmark.dk/portal/royal-danish-academy-architecture-design-and/copenhagen/furniture-design?filters=","English"
"Furniture Design","Architecture, design and visual arts","Master (2 years) of Design","Royal Danish Academy -  Architecture, Design and Conservation",NA,"https://studyindenmark.dk/portal/royal-danish-academy-architecture-design-and/copenhagen/furniture-design-36932?filters=","English"
"Games","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Mathematics, natural- and computer science","Master (2 years) of of Science","IT University of Copenhagen (ITU)",120,"https://studyindenmark.dk/portal/it-university-of-copenhagen-itu/kobenhavn/games?filters=","English"
"General Engineering","Engineering","Bachelor of Science in General Engineering","Technical University of Denmark (DTU)",180,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/general-engineering?filters=","English"
"General Management and Analytics (MSc)","Economics, commerce, management and accounting
                Mathematics, natural- and computer science","Master (2 years) of Science in Economics and Business Administration","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/general-management-and-analytics-msc?filters=","English"
"General Music Teacher (AM)","Music and performing arts","Master (2 years) of Music (MMus)","The Royal Academy of Music - Aarhus/Aalborg",120,"https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aarhus-departement/general-music-teacher-am?filters=","English"
"Geography and Geoinformatics","Agriculture and environment
                Mathematics, natural- and computer science","Master (2 years) of Science in Geography and Geoinformatics","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/geography-and-geoinformatics?filters=","English"
"Geography, MSc","Agriculture and environment
                Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Geography","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/geography-msc?filters=","English"
"Geology","Agriculture and environment","Master (2 years) of Science in Geology","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/geology?filters=","English"
"Geology-Geoscience","Agriculture and environment
                Mathematics, natural- and computer science","Master (2 years) of Science in Geology-Geoscience","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/geology-geoscience?filters=","English"
"Geophysics","Agriculture and environment
                Mathematics, natural- and computer science","Master (2 years) of Science in Geophysics","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/geophysics?filters=","English"
"Global and Development Studies","Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of international security, rights, climate change, social sustainability, green transition","Roskilde University (RUC)",NA,"https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/global-and-development-studies?filters=","English"
"Global Challenges I: The SDGs Relevance for the Social Sciences","Humanities, social sciences, communication and arts","Summer School of  Business & Social Science","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/global-challenges-i-the-sdgs-relevance-for-the?filters=","English"
"Global China Studies, Elective study profile of International Relations","Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of Science (MSc) in Social Sciences in International Relations","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/global-china-studies-elective-study-profile-of?filters=","English"
"Global Development","Agriculture and environment
                Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies
                Law, public administration, public order and safety","Master (2 years) of of Science in Global Development","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/city-campus/global-development?filters=","English"
"Global Gender Studies, Elective study profile of International Relations","Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of Science (MSc) in Social Sciences in International Relations","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/global-gender-studies-elective-study-profile-of?filters=","English"
"Global Health","Health care, social services, and care services
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of of Science in Global Health","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/city-campus/global-health?filters=","English"
"Global Logistics and Supply Chain Management","Economics, commerce, management and accounting
                Hotel, tourism, leisure, transport and logistics","Master (2 years) of","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/global-logistics-and-supply-chain-management?filters=","English"
"Global Marketing and Consumer Culture","Economics, commerce, management and accounting","Master (2 years) of in Economics and Business Administration","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/global-marketing-and-consumer-culture?filters=","English"
"Graphic Communication Design","Architecture, design and visual arts","Master (2 years) of Design","Royal Danish Academy -  Architecture, Design and Conservation",120,"https://studyindenmark.dk/portal/royal-danish-academy-architecture-design-and/copenhagen/graphic-communication-design?filters=","English"
"Graphic Design","Humanities, social sciences, communication and arts","Short-term programme of Graphic Design","Danish School of Media and Journalism (DMJX)",30,"https://studyindenmark.dk/portal/danish-school-of-media-and-journalism-dmjx/campus-copenhagen/graphic-design?filters=","English"
"Graphic Storytelling","Architecture, design and visual arts
                Humanities, social sciences, communication and arts
                Mathematics, natural- and computer science","Bachelor of Graphic Storytelling","VIA University College",240,"https://studyindenmark.dk/portal/via-university-college/campus-viborg/graphic-storytelling?filters=","English"
"Health Tech Innovator","Engineering","Summer School of Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/health-tech-innovator?filters=","English"
"Human Biology","Health care, social services, and care services","Master (2 years) of Science in Human Biology","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/human-biology?filters=","English"
"Human Nutrition","Agriculture and environment
                Mathematics, natural- and computer science","Master (2 years) of Science in Human Nutrition","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/human-nutrition?filters=","English"
"Human Resource Management","Economics, commerce, management and accounting","Master (2 years) of in Economics and Business Administration","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/human-resource-management?filters=","English"
"Human Security","Humanities, social sciences, communication and arts
                Interdisciplinary Studies
                Law, public administration, public order and safety","Master (2 years) of Human Security","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/human-security?filters=","English"
"Human-Centered Artifical Intelligence","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Human-Centered Artificial Intelligence","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/human-centered-artifical-intelligence?filters=","English"
"Immunology and Inflammation","Health care, social services, and care services
                Mathematics, natural- and computer science","Master (2 years) of Science in Immunology and Inflammation","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/immunology-and-inflammation?filters=","English"
"Indoor Environmental and Energy Engineering, MSc in Engineering","Engineering","Master (2 years) of Science in Engineering (Indoor Environmental and Energy Engineering)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/indoor-environmental-and-energy-engineering-msc-in?filters=","English"
"Industrial Design, MSc in Engineering","Engineering","Master (2 years) of Science in Engineering (Industrial Design)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/industrial-design-msc-in-engineering?filters=","English"
"Industrial Engineering and Management","Economics, commerce, management and accounting
                Engineering","Master (2 years) of Science in Engineering Management","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/industrial-engineering-and-management?filters=","English"
"Informatics (available from September 2023)","Mathematics, natural- and computer science","Top-up degree of Informatics","International Business Academy (IBA)",60,"https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/informatics-available-from-september-2023?filters=","English"
"Information Science and Cultural Communication","Humanities, social sciences, communication and arts","Master (2 years) of Science in Information Science and Cultural Communication","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/south-campus/information-science-and-cultural-communication?filters=","English"
"Information Studies, MSc in Information Science","Humanities, social sciences, communication and arts
                Mathematics, natural- and computer science","Master (2 years) of Science in Information Science (Information Studies)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/copenhagen/information-studies-msc-in-information-science?filters=","English"
"Innovation and Business Development","Economics, commerce, management and accounting","Master (2 years) of Economics and Business Administration - Management of Innovation Processes","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/innovation-and-business-development?filters=","English"
"Innovation Management, Specialisation of Economics and Business Administration","Economics, commerce, management and accounting","Master (2 years) of Science (MSc) in Economics and Business Administration (Innovation Management)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/sino-danish-center-beijing-china/innovation-management-specialisation-of-economics?filters=","English"
"Innovative Choir Leading","Music and performing arts","Master (2 years) of Music (MMus)","The Royal Academy of Music - Aarhus/Aalborg",120,"https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aalborg-departement/innovative-choir-leading?filters=","English"
"Instrumental/Voice - Bachelor","Music and performing arts","Bachelor of Instrumental/Voice","The Royal Danish Academy of Music",180,"https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/instrumental-voice-bachelor?filters=","English"
"Instrumental/Voice - Master","Music and performing arts","Master (2 years) of Instrumental/Voice","The Royal Danish Academy of Music",120,"https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/instrumental-voice-master?filters=","English"
"Integrated Food Studies","Health care, social services, and care services","Master (2 years) of Integrated Food Studies","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/integrated-food-studies?filters=","English"
"Interactive Design","Humanities, social sciences, communication and arts","Short-term programme of Interactive Design","Danish School of Media and Journalism (DMJX)",30,"https://studyindenmark.dk/portal/danish-school-of-media-and-journalism-dmjx/campus-copenhagen/interactive-design?filters=","English"
"Intercultural Studies","Humanities, social sciences, communication and arts","Master (2 years) of Intercultural Studies","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/intercultural-studies?filters=","English"
"International Bachelor in Natural Sciences","Interdisciplinary Studies
                Mathematics, natural- and computer science","Bachelor of Natural Science","Roskilde University (RUC)",180,"https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/international-bachelor-in-natural-sciences?filters=","English"
"International Bachelor in Social Sciences","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies
                Law, public administration, public order and safety","Bachelor of Social Science","Roskilde University (RUC)",180,"https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/international-bachelor-in-social-sciences?filters=","English"
"International Business","Economics, commerce, management and accounting","Top-up degree of International Business","International Business Academy (IBA)",60,"https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/international-business-34506?filters=","English"
"International Business (BSc)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Bachelor of Science in International Business","Copenhagen Business School (CBS)",180,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/international-business-bsc?filters=","English"
"International Business (e-learning)","Economics, commerce, management and accounting","Top-up degree of International Business (e-learning)","International Business Academy (IBA)",60,"https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/international-business-e-learning?filters=","English"
"International Business (e-learning)","Economics, commerce, management and accounting","Master (2 years) of International Business (e-learning)","International Business Academy (IBA)",90,"https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/international-business-e-learning-21622?filters=","English"
"International Business Administration and Foreign Languages","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Bachelor of Science (BSc) in International Business Administration and Foreign Languages","University of Southern Denmark (SDU)",180,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/international-business-administration-and-foreign?filters=","English"
"International Business and Politics (BSc)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Bachelor of Science in International Business and Politics","Copenhagen Business School (CBS)",180,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/international-business-and-politics-bsc?filters=","English"
"International Business and Politics (MSc)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Law, public administration, public order and safety","Master (2 years) of Science in International Business and Politics","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/international-business-and-politics-msc?filters=","English"
"International Business and Management","Economics, commerce, management and accounting","Master (2 years) of Economics and Business Administration - International Business and Management","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/international-business-and-management?filters=","English"
"International Business and Marketing","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Master (2 years) of Economics and Business Administration - International Business and Marketing","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/international-business-and-marketing?filters=","English"
"International Business, Specialisation of Economics and Business Administration","Economics, commerce, management and accounting","Master (2 years) of Science (MSc) in Economics and Business Administration (International Business)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/international-business-specialisation-of-economics?filters=","English"
"International Honours Degree in Teaching","Teacher's training","Bachelor of Teacher","University College Absalon",270,"https://studyindenmark.dk/portal/university-college-absalon/vordingborg/international-honours-degree-in-teaching?filters=","English"
"International Hospitality Management (exchange programme)","Economics, commerce, management and accounting
                Hotel, tourism, leisure, transport and logistics","Short-term programme of International Hospitality Management","University College of Northern Denmark (UCN)",30,"https://studyindenmark.dk/portal/university-college-of-northern-denmark-ucn/ucn-business/international-hospitality-management-exchange?filters=","English"
"International Politics and Governance","Interdisciplinary Studies
                Law, public administration, public order and safety","Master (2 years) of","Roskilde University (RUC)",NA,"https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/international-politics-and-governance?filters=","English"
"International Relations, MSc in Social Sciences","Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of Science (MSc) in Social Sciences, International Relations, Development Studies","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/international-relations-msc-in-social-sciences?filters=","English"
"International Sales and Marketing (not available in English from September 2022)","Economics, commerce, management and accounting","Top-up degree of International Sales and Marketing","International Business Academy (IBA)",90,"https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/international-sales-and-marketing-not-available-in?filters=","English"
"International Sales and Marketing & Business Management and Marketing (Double Degree) (not available in English from September 2023)","Economics, commerce, management and accounting","Top-up degree of International Sales and Marketing Management & Business Management and Marketing","International Business Academy (IBA)",150,"https://studyindenmark.dk/portal/international-business-academy-iba/ea-kolding-iba/international-sales-and-marketing-business?filters=","English"
"International Security and Law","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Law, public administration, public order and safety","Master (2 years) of Social Sciences in International Security and Law","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/international-security-and-law?filters=","English"
"International Shipping and Trade (BSc)","Economics, commerce, management and accounting
                Hotel, tourism, leisure, transport and logistics","Bachelor of Science in International Shipping and Trade","Copenhagen Business School (CBS)",180,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/international-shipping-and-trade-bsc?filters=","English"
"Introduction to Biologically-inspired Robotics and Learning","Engineering","Summer School of Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/introduction-to-biologically-inspired-robotics-and?filters=","English"
"Introduction to Nano-optics","Engineering","Summer School of Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/introduction-to-nano-optics?filters=","English"
"Introduction to R","Economics, commerce, management and accounting","Summer School of Business & Social Science","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/introduction-to-r?filters=","English"
"IT - Product Design","Architecture, design and visual arts
                Humanities, social sciences, communication and arts","Master (2 years) of Science in Information Technology - Product Design","University of Southern Denmark (SDU)",NA,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/kolding/it-product-design?filters=","English"
"IT and Cognition","Humanities, social sciences, communication and arts
                Interdisciplinary Studies
                Mathematics, natural- and computer science","Master (2 years) of Science in IT and Cognition","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/south-campus/it-and-cognition?filters=","English"
"IT Product Development","Mathematics, natural- and computer science","Bachelor of IT Product Development","Aarhus University (AU)",180,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/it-product-development-39686?filters=","English"
"IT Product Development","Mathematics, natural- and computer science","Master (2 years) of IT Product Development","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/it-product-development?filters=","English"
"Jazz/pop","Music and performing arts","Advanced Postgraduate Diploma of","Danish National Academy of Music",120,"https://studyindenmark.dk/portal/danish-national-academy-of-music/odense/jazz-pop-34370?filters=","English"
"Jazz/pop","Music and performing arts","Master (2 years) of","Danish National Academy of Music",120,"https://studyindenmark.dk/portal/danish-national-academy-of-music/odense/jazz-pop-34367?filters=","English"
"Jazz/pop","Music and performing arts","Bachelor of","Danish National Academy of Music",180,"https://studyindenmark.dk/portal/danish-national-academy-of-music/odense/jazz-pop?filters=","English"
"Jazz/Pop Drum and Dance (Aarhus)","Music and performing arts","Bachelor of Music (BMus)","The Royal Academy of Music - Aarhus/Aalborg",180,"https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aarhus-departement/jazz-pop-drum-and-dance-aarhus?filters=","English"
"Jazz/Pop Music (Aalborg)","Music and performing arts","Master (2 years) of Music (MMus)","The Royal Academy of Music - Aarhus/Aalborg",120,"https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aalborg-departement/jazz-pop-music-aalborg?filters=","English"
